metrage_nom;salle_de_bain_nbr;chambre_nbr;Type;Secteur;Étage;Âge du bien;Salons;Frais de syndic / mois
60;1;2;Appartements, à vendre;Hay Izdihar;2;6-10 ans;1;
60;1;2;Appartements, à vendre;Hay Izdihar;2;6-10 ans;1;
60;1;2;Appartements, à vendre;Hay Izdihar;2;6-10 ans;1;
60;1;2;Appartements, à vendre;Hay Izdihar;2;6-10 ans;1;
60;1;2;Appartements, à vendre;Hay Izdihar;2;6-10 ans;1;
60;1;2;Appartements, à vendre;Hay Izdihar;2;6-10 ans;1;
114;2;3;Appartements, à vendre;Wifak;1;Neuf;1;3
114;2;3;Appartements, à vendre;Wifak;1;Neuf;1;3
114;2;3;Appartements, à vendre;Wifak;1;Neuf;1;3
114;2;3;Appartements, à vendre;Wifak;1;Neuf;1;3
114;2;3;Appartements, à vendre;Wifak;1;Neuf;1;3
114;2;3;Appartements, à vendre;Wifak;1;Neuf;1;3
114;2;3;Appartements, à vendre;Wifak;1;Neuf;1;3
114;4;4;Maisons et Villas, à vendre;Les Portes de Marrakech;;;2;
114;4;4;Maisons et Villas, à vendre;Les Portes de Marrakech;;;2;
114;4;4;Maisons et Villas, à vendre;Les Portes de Marrakech;;;2;
114;4;4;Maisons et Villas, à vendre;Les Portes de Marrakech;;;2;
114;4;4;Maisons et Villas, à vendre;Les Portes de Marrakech;;;2;
14;1;3;Appartements, à vendre;Wifak;3;1-5 ans;1;
14;1;3;Appartements, à vendre;Wifak;3;1-5 ans;1;
14;1;3;Appartements, à vendre;Wifak;3;1-5 ans;1;
14;1;3;Appartements, à vendre;Wifak;3;1-5 ans;1;
14;1;3;Appartements, à vendre;Wifak;3;1-5 ans;1;
14;1;3;Appartements, à vendre;Wifak;3;1-5 ans;1;
83;2;3;Appartements, à vendre;Ain Sebaa;1;Neuf;2;150
83;2;3;Appartements, à vendre;Ain Sebaa;1;Neuf;2;150
83;2;3;Appartements, à vendre;Ain Sebaa;1;Neuf;2;150
83;2;3;Appartements, à vendre;Ain Sebaa;1;Neuf;2;150
83;2;3;Appartements, à vendre;Ain Sebaa;1;Neuf;2;150
83;2;3;Appartements, à vendre;Ain Sebaa;1;Neuf;2;150
83;2;3;Appartements, à vendre;Ain Sebaa;1;Neuf;2;150
68;1;1;Appartements, à vendre;Toute la ville;Rez de chaussée;6-10 ans;2;600
68;1;1;Appartements, à vendre;Toute la ville;Rez de chaussée;6-10 ans;2;600
68;1;1;Appartements, à vendre;Toute la ville;Rez de chaussée;6-10 ans;2;600
68;1;1;Appartements, à vendre;Toute la ville;Rez de chaussée;6-10 ans;2;600
68;1;1;Appartements, à vendre;Toute la ville;Rez de chaussée;6-10 ans;2;600
68;1;1;Appartements, à vendre;Toute la ville;Rez de chaussée;6-10 ans;2;600
68;1;1;Appartements, à vendre;Toute la ville;Rez de chaussée;6-10 ans;2;600
91;2;2;Appartements, à vendre;Toute la ville;1;6-10 ans;1;3000
91;2;2;Appartements, à vendre;Toute la ville;1;6-10 ans;1;3000
91;2;2;Appartements, à vendre;Toute la ville;1;6-10 ans;1;3000
91;2;2;Appartements, à vendre;Toute la ville;1;6-10 ans;1;3000
91;2;2;Appartements, à vendre;Toute la ville;1;6-10 ans;1;3000
91;2;2;Appartements, à vendre;Toute la ville;1;6-10 ans;1;3000
91;2;2;Appartements, à vendre;Toute la ville;1;6-10 ans;1;3000
30;1;1;Appartements, à vendre;Hay Hassani;3;;1;
30;1;1;Appartements, à vendre;Hay Hassani;3;;1;
